2021-06-30 11:06:790 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-30 12:06:992 INFO  HomePage :21 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (ffdd0f9378f482a3751dcbe5c2b8a7c9)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 12:06:390 INFO  BankManagerLoginPage :26 - Clicking on Open Account Tab [[ChromeDriver: chrome on WINDOWS (ffdd0f9378f482a3751dcbe5c2b8a7c9)] -> xpath: //button[contains(text(),'Open Account')]]
2021-06-30 12:06:762 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-30 12:06:477 INFO  HomePage :21 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (51f1e78da6daa2df40ef4c7073a59760)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 12:06:875 INFO  BankManagerLoginPage :26 - Clicking on Open Account Tab [[ChromeDriver: chrome on WINDOWS (51f1e78da6daa2df40ef4c7073a59760)] -> xpath: //button[contains(text(),'Open Account')]]
2021-06-30 12:06:646 INFO  OpenAccountPage :25 - Select customer 2from drop down list [[ChromeDriver: chrome on WINDOWS (51f1e78da6daa2df40ef4c7073a59760)] -> xpath: //select[@id='userSelect']]
2021-06-30 12:06:912 INFO  OpenAccountPage :30 - select currency Poundfrom drop down list[[ChromeDriver: chrome on WINDOWS (51f1e78da6daa2df40ef4c7073a59760)] -> xpath: //select[@id='currency']]
2021-06-30 12:06:964 INFO  OpenAccountPage :34 - click on process button[[ChromeDriver: chrome on WINDOWS (51f1e78da6daa2df40ef4c7073a59760)] -> xpath: //button[contains(text(),'Process')]]
2021-06-30 12:06:106 INFO  OpenAccountPage :40 - Getting text from Alert 
2021-06-30 12:06:180 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-30 12:06:83 INFO  HomePage :21 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (c6cb07d3b742238c2a2faad71699774a)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 12:06:353 INFO  BankManagerLoginPage :26 - Clicking on Open Account Tab [[ChromeDriver: chrome on WINDOWS (c6cb07d3b742238c2a2faad71699774a)] -> xpath: //button[contains(text(),'Open Account')]]
2021-06-30 12:06:380 INFO  OpenAccountPage :25 - Select customer 2from drop down list [[ChromeDriver: chrome on WINDOWS (c6cb07d3b742238c2a2faad71699774a)] -> xpath: //select[@id='userSelect']]
2021-06-30 12:06:690 INFO  OpenAccountPage :30 - select currency Poundfrom drop down list[[ChromeDriver: chrome on WINDOWS (c6cb07d3b742238c2a2faad71699774a)] -> xpath: //select[@id='currency']]
2021-06-30 12:06:733 INFO  OpenAccountPage :34 - click on process button[[ChromeDriver: chrome on WINDOWS (c6cb07d3b742238c2a2faad71699774a)] -> xpath: //button[contains(text(),'Process')]]
2021-06-30 12:06:881 INFO  OpenAccountPage :41 - Getting text from Alert 
2021-06-30 12:06:940 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-30 12:06:52 INFO  HomePage :21 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (a57a1d3df48c3b7a327bbecb2839c0b6)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 12:06:403 INFO  BankManagerLoginPage :26 - Clicking on Open Account Tab [[ChromeDriver: chrome on WINDOWS (a57a1d3df48c3b7a327bbecb2839c0b6)] -> xpath: //button[contains(text(),'Open Account')]]
2021-06-30 12:06:800 INFO  OpenAccountPage :25 - Select customer 2from drop down list [[ChromeDriver: chrome on WINDOWS (a57a1d3df48c3b7a327bbecb2839c0b6)] -> xpath: //select[@id='userSelect']]
2021-06-30 12:06:184 INFO  OpenAccountPage :30 - select currency Poundfrom drop down list[[ChromeDriver: chrome on WINDOWS (a57a1d3df48c3b7a327bbecb2839c0b6)] -> xpath: //select[@id='currency']]
2021-06-30 12:06:232 INFO  OpenAccountPage :34 - click on process button[[ChromeDriver: chrome on WINDOWS (a57a1d3df48c3b7a327bbecb2839c0b6)] -> xpath: //button[contains(text(),'Process')]]
2021-06-30 12:06:442 INFO  OpenAccountPage :41 - Getting text from Alert 
2021-06-30 12:06:538 INFO  OpenAccountPage :48 - Accept on alert
2021-06-30 12:06:865 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-30 12:06:965 INFO  HomePage :21 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (9acfe53e0c24436db0988ec2c7b5c2fd)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 12:06:548 INFO  BankManagerLoginPage :21 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (9acfe53e0c24436db0988ec2c7b5c2fd)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-30 12:06:192 INFO  AddCustomerPage :29 - Enter first name [[ChromeDriver: chrome on WINDOWS (9acfe53e0c24436db0988ec2c7b5c2fd)] -> xpath: //input[@placeholder='First Name']]
2021-06-30 12:06:439 INFO  AddCustomerPage :34 - Enter last name [[ChromeDriver: chrome on WINDOWS (9acfe53e0c24436db0988ec2c7b5c2fd)] -> xpath: //input[@placeholder='Last Name']]
2021-06-30 12:06:677 INFO  AddCustomerPage :40 - Enter Post Code [[ChromeDriver: chrome on WINDOWS (9acfe53e0c24436db0988ec2c7b5c2fd)] -> xpath: //input[@placeholder='Post Code']]
2021-06-30 12:06:729 INFO  AddCustomerPage :45 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (9acfe53e0c24436db0988ec2c7b5c2fd)] -> xpath: //button[@class='btn btn-default']]
2021-06-30 12:06:61 INFO  BankManagerLoginPage :26 - Clicking on Open Account Tab [[ChromeDriver: chrome on WINDOWS (9acfe53e0c24436db0988ec2c7b5c2fd)] -> xpath: //button[contains(text(),'Open Account')]]
2021-06-30 12:06:314 INFO  OpenAccountPage :25 - Select customer 6from drop down list [[ChromeDriver: chrome on WINDOWS (9acfe53e0c24436db0988ec2c7b5c2fd)] -> xpath: //select[@id='userSelect']]
2021-06-30 12:06:620 INFO  OpenAccountPage :30 - select currency Poundfrom drop down list[[ChromeDriver: chrome on WINDOWS (9acfe53e0c24436db0988ec2c7b5c2fd)] -> xpath: //select[@id='currency']]
2021-06-30 12:06:691 INFO  OpenAccountPage :34 - click on process button[[ChromeDriver: chrome on WINDOWS (9acfe53e0c24436db0988ec2c7b5c2fd)] -> xpath: //button[contains(text(),'Process')]]
2021-06-30 12:06:926 INFO  OpenAccountPage :41 - Getting text from Alert 
2021-06-30 12:06:965 INFO  OpenAccountPage :48 - Accept on alert
2021-06-30 13:06:456 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-30 13:06:928 INFO  HomePage :21 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 13:06:413 INFO  BankManagerLoginPage :21 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-30 13:06:520 INFO  AddCustomerPage :29 - Enter first name [[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //input[@placeholder='First Name']]
2021-06-30 13:06:914 INFO  AddCustomerPage :34 - Enter last name [[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //input[@placeholder='Last Name']]
2021-06-30 13:06:203 INFO  AddCustomerPage :40 - Enter Post Code [[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //input[@placeholder='Post Code']]
2021-06-30 13:06:247 INFO  AddCustomerPage :45 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //button[@class='btn btn-default']]
2021-06-30 13:06:700 INFO  BankManagerLoginPage :26 - Clicking on Open Account Tab [[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //button[contains(text(),'Open Account')]]
2021-06-30 13:06:350 INFO  OpenAccountPage :28 - Select customer 6from drop down list [[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //select[@id='userSelect']]
2021-06-30 13:06:653 INFO  OpenAccountPage :33 - select currency Poundfrom drop down list[[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //select[@id='currency']]
2021-06-30 13:06:691 INFO  OpenAccountPage :37 - click on process button[[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //button[contains(text(),'Process')]]
2021-06-30 13:06:853 INFO  OpenAccountPage :51 - Accept on alert
2021-06-30 13:06:579 INFO  OpenAccountPage :56 - clicking on home button[[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //button[@class='btn home']]
2021-06-30 13:06:04 INFO  CustomersPage :27 - select customer6from Drop down list[[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //select[@id='userSelect']]
2021-06-30 13:06:166 INFO  CustomersPage :32 - Click On Login Button[[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //button[contains(text(),'Login')]]
2021-06-30 13:06:419 INFO  AccountPage :44 - Getting text from Logout Button[[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //button[contains(text(),'Logout')]]
2021-06-30 13:06:638 INFO  AccountPage :50 - click on Logout button[[ChromeDriver: chrome on WINDOWS (a6939bd86be979d0acd9f11903cf583f)] -> xpath: //button[contains(text(),'Logout')]]
2021-06-30 13:06:160 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-30 13:06:578 INFO  HomePage :21 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 13:06:860 INFO  BankManagerLoginPage :21 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-30 13:06:692 INFO  AddCustomerPage :29 - Enter first name [[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //input[@placeholder='First Name']]
2021-06-30 13:06:937 INFO  AddCustomerPage :34 - Enter last name [[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //input[@placeholder='Last Name']]
2021-06-30 13:06:218 INFO  AddCustomerPage :40 - Enter Post Code [[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //input[@placeholder='Post Code']]
2021-06-30 13:06:265 INFO  AddCustomerPage :45 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //button[@class='btn btn-default']]
2021-06-30 13:06:652 INFO  BankManagerLoginPage :26 - Clicking on Open Account Tab [[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //button[contains(text(),'Open Account')]]
2021-06-30 13:06:129 INFO  OpenAccountPage :28 - Select customer 6from drop down list [[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //select[@id='userSelect']]
2021-06-30 13:06:440 INFO  OpenAccountPage :33 - select currency Poundfrom drop down list[[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //select[@id='currency']]
2021-06-30 13:06:484 INFO  OpenAccountPage :37 - click on process button[[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //button[contains(text(),'Process')]]
2021-06-30 13:06:655 INFO  OpenAccountPage :51 - Accept on alert
2021-06-30 13:06:893 INFO  OpenAccountPage :56 - clicking on home button[[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //button[@class='btn home']]
2021-06-30 13:06:617 INFO  CustomersPage :27 - select customer6from Drop down list[[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //select[@id='userSelect']]
2021-06-30 13:06:798 INFO  CustomersPage :32 - Click On Login Button[[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //button[contains(text(),'Login')]]
2021-06-30 13:06:856 INFO  AccountPage :44 - Getting text from Logout Button[[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //button[contains(text(),'Logout')]]
2021-06-30 13:06:298 INFO  AccountPage :50 - click on Logout button[[ChromeDriver: chrome on WINDOWS (e286cc99a071ca03306cb12f7d1d69f8)] -> xpath: //button[contains(text(),'Logout')]]
2021-06-30 14:06:525 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-30 14:06:618 INFO  HomePage :21 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 14:06:884 INFO  BankManagerLoginPage :21 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-30 14:06:638 INFO  AddCustomerPage :29 - Enter first name [[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //input[@placeholder='First Name']]
2021-06-30 14:06:391 INFO  AddCustomerPage :34 - Enter last name [[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //input[@placeholder='Last Name']]
2021-06-30 14:06:657 INFO  AddCustomerPage :40 - Enter Post Code [[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //input[@placeholder='Post Code']]
2021-06-30 14:06:705 INFO  AddCustomerPage :45 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //button[@class='btn btn-default']]
2021-06-30 14:06:75 INFO  BankManagerLoginPage :26 - Clicking on Open Account Tab [[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //button[contains(text(),'Open Account')]]
2021-06-30 14:06:769 INFO  OpenAccountPage :28 - Select customer 6from drop down list [[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //select[@id='userSelect']]
2021-06-30 14:06:59 INFO  OpenAccountPage :33 - select currency Poundfrom drop down list[[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //select[@id='currency']]
2021-06-30 14:06:99 INFO  OpenAccountPage :37 - click on process button[[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //button[contains(text(),'Process')]]
2021-06-30 14:06:266 INFO  OpenAccountPage :51 - Accept on alert
2021-06-30 14:06:620 INFO  OpenAccountPage :56 - clicking on home button[[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //button[@class='btn home']]
2021-06-30 14:06:312 INFO  CustomersPage :27 - select customer6from Drop down list[[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //select[@id='userSelect']]
2021-06-30 14:06:495 INFO  CustomersPage :32 - Click On Login Button[[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //button[contains(text(),'Login')]]
2021-06-30 14:06:832 INFO  AccountPage :63 - Clicking on Deposit Button[[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //button[contains(text(),'Deposit')]]
2021-06-30 14:06:161 INFO  AccountPage :68 - enter the amount100to deposit field[[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //input[@type='number']]
2021-06-30 14:06:352 INFO  AccountPage :73 - Click On Deposit amount Button after Amount Selected [[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //button[@type='submit']]
2021-06-30 14:06:392 INFO  AccountPage :77 - Getting Text deposited successfully[[ChromeDriver: chrome on WINDOWS (c5c175f83e0320cfb3475a725e987b25)] -> xpath: //span[contains(text(),'Deposit Successful')]]
2021-06-30 14:06:821 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-30 14:06:531 INFO  HomePage :21 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 14:06:800 INFO  BankManagerLoginPage :21 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-30 14:06:679 INFO  AddCustomerPage :29 - Enter first name [[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //input[@placeholder='First Name']]
2021-06-30 14:06:450 INFO  AddCustomerPage :34 - Enter last name [[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //input[@placeholder='Last Name']]
2021-06-30 14:06:733 INFO  AddCustomerPage :40 - Enter Post Code [[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //input[@placeholder='Post Code']]
2021-06-30 14:06:776 INFO  AddCustomerPage :45 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //button[@class='btn btn-default']]
2021-06-30 14:06:199 INFO  BankManagerLoginPage :26 - Clicking on Open Account Tab [[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //button[contains(text(),'Open Account')]]
2021-06-30 14:06:920 INFO  OpenAccountPage :28 - Select customer 6from drop down list [[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //select[@id='userSelect']]
2021-06-30 14:06:192 INFO  OpenAccountPage :33 - select currency Poundfrom drop down list[[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //select[@id='currency']]
2021-06-30 14:06:229 INFO  OpenAccountPage :37 - click on process button[[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //button[contains(text(),'Process')]]
2021-06-30 14:06:367 INFO  OpenAccountPage :51 - Accept on alert
2021-06-30 14:06:526 INFO  OpenAccountPage :56 - clicking on home button[[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //button[@class='btn home']]
2021-06-30 14:06:287 INFO  CustomersPage :27 - select customer6from Drop down list[[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //select[@id='userSelect']]
2021-06-30 14:06:430 INFO  CustomersPage :32 - Click On Login Button[[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //button[contains(text(),'Login')]]
2021-06-30 14:06:267 INFO  AccountPage :63 - Clicking on Deposit Button[[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //button[contains(text(),'Deposit')]]
2021-06-30 14:06:693 INFO  AccountPage :68 - enter the amount100to deposit field[[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //input[@type='number']]
2021-06-30 14:06:866 INFO  AccountPage :73 - Click On Deposit amount Button after Amount Selected [[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //button[@type='submit']]
2021-06-30 14:06:22 INFO  AccountPage :84 - clicking on Withdrawl button[[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //button[contains(text(),'Withdrawl')]]
2021-06-30 14:06:186 INFO  AccountPage :89 - enter the amount50on the Withdrawl field[[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //input[@type='number']]
2021-06-30 14:06:584 INFO  AccountPage :94 - Clicking on Withdraw Button After Amount Entered[[ChromeDriver: chrome on WINDOWS (b7eda0b907d25dc1ef871eef76cdf36b)] -> xpath: //button[@type='submit']]
2021-06-30 14:06:698 INFO  AccountPage :98 - getting text from Withdrawl Successful messageProxy element for: DefaultElementLocator 'By.xpath: //span[contains(text(),'Transaction successful')]'
2021-06-30 14:06:599 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-30 14:06:428 INFO  HomePage :21 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 14:06:780 INFO  BankManagerLoginPage :21 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-30 14:06:240 INFO  AddCustomerPage :29 - Enter first name [[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //input[@placeholder='First Name']]
2021-06-30 14:06:312 INFO  AddCustomerPage :34 - Enter last name [[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //input[@placeholder='Last Name']]
2021-06-30 14:06:620 INFO  AddCustomerPage :40 - Enter Post Code [[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //input[@placeholder='Post Code']]
2021-06-30 14:06:688 INFO  AddCustomerPage :45 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //button[@class='btn btn-default']]
2021-06-30 14:06:32 INFO  BankManagerLoginPage :26 - Clicking on Open Account Tab [[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //button[contains(text(),'Open Account')]]
2021-06-30 14:06:764 INFO  OpenAccountPage :28 - Select customer 6from drop down list [[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //select[@id='userSelect']]
2021-06-30 14:06:122 INFO  OpenAccountPage :33 - select currency Poundfrom drop down list[[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //select[@id='currency']]
2021-06-30 14:06:157 INFO  OpenAccountPage :37 - click on process button[[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //button[contains(text(),'Process')]]
2021-06-30 14:06:295 INFO  OpenAccountPage :51 - Accept on alert
2021-06-30 14:06:479 INFO  OpenAccountPage :56 - clicking on home button[[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //button[@class='btn home']]
2021-06-30 14:06:189 INFO  CustomersPage :27 - select customer6from Drop down list[[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //select[@id='userSelect']]
2021-06-30 14:06:469 INFO  CustomersPage :32 - Click On Login Button[[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //button[contains(text(),'Login')]]
2021-06-30 14:06:802 INFO  AccountPage :63 - Clicking on Deposit Button[[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //button[contains(text(),'Deposit')]]
2021-06-30 14:06:229 INFO  AccountPage :68 - enter the amount100to deposit field[[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //input[@type='number']]
2021-06-30 14:06:384 INFO  AccountPage :73 - Click On Deposit amount Button after Amount Selected [[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //button[@type='submit']]
2021-06-30 14:06:523 INFO  AccountPage :84 - clicking on Withdrawl button[[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //button[contains(text(),'Withdrawl')]]
2021-06-30 14:06:751 INFO  AccountPage :90 - enter the amount50on the Withdrawl field[[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //input[@type='number']]
2021-06-30 14:06:907 INFO  AccountPage :95 - Clicking on Withdraw Button After Amount Entered[[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //button[@type='submit']]
2021-06-30 14:06:954 INFO  AccountPage :100 - getting text from Withdrawl Successful message[[ChromeDriver: chrome on WINDOWS (c93de250338e24ce1f266aca1aa5c70d)] -> xpath: //span[contains(text(),'Transaction successful')]]
